scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
141068, Quantum Long Term Equity Value Fund - Regular Plan Growth Option,Moderately High,Equity Scheme,Value,Quantum Long Term Equity Value Fund
141069, Quantum Long Term Equity Value Fund - Regular Plan IDCW,High,Equity Scheme,Value,Quantum Long Term Equity Value Fund
141070, Quantum Tax Saving Fund - Regular Plan Growth Option,Low to Moderate,Equity Scheme,ELSS,Quantum Tax Saving Fund
141071, Quantum Tax Saving Fund - Regular Plan IDCW,Moderate,Equity Scheme,ELSS,Quantum Tax Saving Fund
141072, Quantum Multi Asset Fund of Funds - Regular Plan Growth Option,Moderate,Other Scheme,FoFs(Oversease/Domestic),Quantum Multi Asset Fund of Funds
141089, ICICI Prudential Fixed Maturity Plan - Series 80 - 1125 Days Plan S - Cumulative Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
141090, ICICI Prudential Fixed Maturity Plan - Series 80 - 1125 Days Plan S - Direct Plan - Cumulative Option,High,Others,Others,ICICI Prudential Fixed Maturity Plan
141091, ICICI Prudential Fixed Maturity Plan - Series 80 - 1125 Days Plan S - Direct Plan - Dividend Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
141092, ICICI Prudential Fixed Maturity Plan - Series 80 - 1125 Days Plan S - Dividend Option,High,Others,Others,ICICI Prudential Fixed Maturity Plan
141097, ICICI Prudential Fixed Maturity Plan - Series 80 - 1216 Days Plan U - Cumulative Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
141098, ICICI Prudential Fixed Maturity Plan - Series 80 - 1216 Days Plan U - Direct Plan - Cumulative Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
141099, ICICI Prudential Fixed Maturity Plan - Series 80 - 1216 Days Plan U - Dividend Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
141100, ICICI Prudential Fixed Maturity Plan - Series 80 - 1216 Days Plan U - Direct Plan - Dividend Option,Low to Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
141108, ICICI Prudential Value Fund - Series 12 - Direct Plan - Dividend Option,Low,Others,Others,ICICI Prudential Value Fund
141110, ICICI Prudential Value Fund - Series 12 - Dividend Option,Moderately High,Others,Others,ICICI Prudential Value Fund
141111, UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Growth Option,High,Others,Others,UTI FTIF Series XXVI
141112, UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Quarterly Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
141113, UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Maturity Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
141114, UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Flexi Div Option,High,Others,Others,UTI FTIF Series XXVI
141115, UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Growth Option,Moderate,Others,Others,UTI FTIF Series XXVI
141116, UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Annual Div Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141117, UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Maturity Div Option,Low,Others,Others,UTI FTIF Series XXVI
141119, UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Annual Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
141120, UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Quarterly Div Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141127, HDFC FMP 1188D March 2017 (1) - Direct Option -  Dividend Option,Moderate,Others,Others,HDFC FMP 1188D March 2017 (1)
141128, HDFC FMP 1188D March 2017 (1) - Direct Option -  Quarterly Dividend Option,Moderate,Others,Others,HDFC FMP 1188D March 2017 (1)
141129, HDFC FMP 1188D March 2017 (1) - Regular Option -  Dividend Option,Low,Others,Others,HDFC FMP 1188D March 2017 (1)
141130, HDFC FMP 1188D March 2017 (1) - Regular Option -  Growth Option,Moderate,Others,Others,HDFC FMP 1188D March 2017 (1)
141131, HDFC FMP 1188D March 2017 (1) - Regular Option -  Quarterly Dividend Option,High,Others,Others,HDFC FMP 1188D March 2017 (1)
141132, HDFC FMP 1188D March 2017 (1) - Direct Option -  Growth Option,High,Others,Others,HDFC FMP 1188D March 2017 (1)
141139, Sundaram Long Term Micro Cap Tax Advantage Fund Series V Regular Plan - Growth,High,Equity Scheme,ELSS,Sundaram Long Term Micro Cap Tax Advantage Fund Series V Regular Plan
141140, Sundaram Long Term Micro Cap Tax Advantage Fund Series V Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),Moderately High,Equity Scheme,ELSS,Sundaram Long Term Micro Cap Tax Advantage Fund Series V Regular Plan
