scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
146393, Aditya Birla Sun Life Fixed Term Plan - Series SF (1161 days) - Regular Plan-Growth,High,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146394, Aditya Birla Sun Life Fixed Term Plan - Series SF (1161 days) -Regular - Payout of IDCW,Low,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146395, Aditya Birla Sun Life Fixed Term Plan - Series SF (1161 days) -Direct - Payout of IDCW,Moderately High,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146396, Aditya Birla Sun Life Fixed Term Plan - Series SF (1161 days) - Direct Plan-Growth,Low,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146397, BNP Paribas Dynamic Equity Fund - Regular Plan-Quarterly Income Distribution cum Capital Withdrawal Option,Moderate,Hybrid Scheme,Multi Asset Allocation,BNP Paribas Dynamic Equity Fund
146398, BNP Paribas Dynamic Equity Fund - Regular Plan-Growth Option,Moderately High,Hybrid Scheme,Multi Asset Allocation,BNP Paribas Dynamic Equity Fund
146399, BNP Paribas Dynamic Equity Fund - Regular Plan-Monthly Income Distribution cum Capital Withdrawal Option,Low,Hybrid Scheme,Multi Asset Allocation,BNP Paribas Dynamic Equity Fund
146400, BNP Paribas Dynamic Equity Fund - Regular Plan-Annual Income Distribution cum Capital Withdrawal Option,High,Hybrid Scheme,Multi Asset Allocation,BNP Paribas Dynamic Equity Fund
146401, BNP Paribas Dynamic Equity Fund - Direct Plan-Annual Income Distribution cum Capital Withdrawal Option,Low,Hybrid Scheme,Multi Asset Allocation,BNP Paribas Dynamic Equity Fund
146402, BNP Paribas Dynamic Equity Fund - Direct Plan-Growth Option,Very High,Hybrid Scheme,Multi Asset Allocation,BNP Paribas Dynamic Equity Fund
146403, BNP Paribas Dynamic Equity Fund - Direct Plan-Monthly Income Distribution cum Capital Withdrawal Option,Moderate,Hybrid Scheme,Multi Asset Allocation,BNP Paribas Dynamic Equity Fund
146404, BNP Paribas Dynamic Equity Fund - Direct Plan-Quarterly Income Distribution cum Capital Withdrawal Option,Low to Moderate,Hybrid Scheme,Multi Asset Allocation,BNP Paribas Dynamic Equity Fund
146405, ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Regular - IDCW,Low to Moderate,Solution Scheme,Children's,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA
146407, ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA DIRECT GROWTH,High,Solution Scheme,Children's,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA DIRECT GROWTH
146408, ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Direct - IDCW,High,Solution Scheme,Children's,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA
146409, ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA REGULAR GROWTH,Low,Solution Scheme,Children's,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA REGULAR GROWTH
146423, L&T FMP Series XVIII - Plan C - Direct Plan - IDCW ,High,Others,Others,L&T FMP Series XVIII
146424, L&T FMP Series XVIII - Plan C - Direct Plan - Growth Option,Moderately High,Others,Others,L&T FMP Series XVIII
146425, L&T FMP Series XVIII - Plan C - Regular Plan - IDCW ,Moderate,Others,Others,L&T FMP Series XVIII
146426, L&T FMP Series XVIII - Plan C - Regular Plan - Growth Option,Low,Others,Others,L&T FMP Series XVIII
146427, L&T FMP Series XVIII - Plan D - Direct Plan - IDCW ,Moderately High,Others,Others,L&T FMP Series XVIII
146428, L&T FMP Series XVIII - Plan D - Direct Plan - Growth Option,Very High,Others,Others,L&T FMP Series XVIII
146429, L&T FMP Series XVIII - Plan D - Regular Plan - IDCW ,Moderate,Others,Others,L&T FMP Series XVIII
146430, L&T FMP Series XVIII - Plan D - Regular Plan - Growth Option,Moderate,Others,Others,L&T FMP Series XVIII
146436, Navi 3 in 1 Fund - Direct Plan - Annual IDCW,Moderate,Hybrid Scheme,Multi Asset Allocation,Navi 3 in 1 Fund
146437, Navi 3 in 1 Fund - Direct Plan - Normal IDCW,Very High,Hybrid Scheme,Multi Asset Allocation,Navi 3 in 1 Fund
146438, Navi 3 in 1 Fund - Regular Plan - Half Yearly IDCW,Low to Moderate,Hybrid Scheme,Multi Asset Allocation,Navi 3 in 1 Fund
146439, Navi 3 in 1 Fund - Regular Plan - Normal IDCW,Very High,Hybrid Scheme,Multi Asset Allocation,Navi 3 in 1 Fund
146440, Navi 3 in 1 Fund - Regular Plan - Annual IDCW,High,Hybrid Scheme,Multi Asset Allocation,Navi 3 in 1 Fund
146445, ICICI Prudential Fixed Maturity Plan - Series 85 - 1168 Days Plan E - Quarterly IDCW Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
146446, ICICI Prudential Fixed Maturity Plan - Series 85 - 1168 Days Plan E - Direct Plan Quarterly IDCW Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
146448, ICICI Prudential Fixed Maturity Plan - Series 85 - 1168 Days Plan E - Cumulative Option,Low,Others,Others,ICICI Prudential Fixed Maturity Plan
146450, ICICI Prudential Fixed Maturity Plan - Series 85 - 1168 Days Plan E - Direct Plan Cumulative Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
146455, Invesco India Equity Savings Fund - Regular Plan - IDCW (Payout / Reinvestment),Low to Moderate,Hybrid Scheme,Equity Savings,Invesco India Equity Savings Fund
146456, Invesco India Equity Savings Fund - Regular Plan - Growth,Low to Moderate,Hybrid Scheme,Equity Savings,Invesco India Equity Savings Fund
146457, Invesco India Equity Savings Fund - Direct Plan - Growth,High,Hybrid Scheme,Equity Savings,Invesco India Equity Savings Fund
146458, Invesco India Equity Savings Fund - Direct Plan - IDCW (Payout / Reinvestment),Very High,Hybrid Scheme,Equity Savings,Invesco India Equity Savings Fund
146459, DSP FMP Series - 250 - 39M - Regular Plan - Growth,Low to Moderate,Others,Others,DSP FMP Series
146460, DSP FMP Series - 250 - 39M - Regular Plan - IDCW - Payout,Very High,Others,Others,DSP FMP Series
146461, DSP FMP Series - 250 - 39M - Regular Plan - IDCW - Quarterly Payout,Very High,Others,Others,DSP FMP Series
146462, DSP FMP Series - 250 - 39M - Direct Plan - Growth,Very High,Others,Others,DSP FMP Series
146463, DSP FMP Series - 250 - 39M - Direct Plan - IDCW - Payout,Moderately High,Others,Others,DSP FMP Series
146464, DSP FMP Series - 250 - 39M - Direct Plan - IDCW - Quarterly Payout,Moderate,Others,Others,DSP FMP Series
146465, HDFC FMP 1154D February 2019 (1) - IDCW Option - Direct Plan,Moderate,Others,Others,HDFC FMP 1154D February 2019 (1)
146466, HDFC FMP 1154D February 2019 (1) - Quarterly IDCW Option,Very High,Others,Others,HDFC FMP 1154D February 2019 (1)
146467, HDFC FMP 1154D February 2019 (1) - IDCW Option,Low to Moderate,Others,Others,HDFC FMP 1154D February 2019 (1)
146468, HDFC FMP 1154D February 2019 (1) - Growth Option - Direct Plan,Low to Moderate,Others,Others,HDFC FMP 1154D February 2019 (1)
146469, HDFC FMP 1154D February 2019 (1) - Growth Option,Moderately High,Others,Others,HDFC FMP 1154D February 2019 (1)
146470, HDFC FMP 1154D February 2019 (1) - Quarterly IDCW Option - Direct Plan,Moderately High,Others,Others,HDFC FMP 1154D February 2019 (1)
146471, NIPPON INDIA FIXED HORIZON FUND - XXXX - SERIES 17 - DIRECT Plan - IDCW Option,Very High,Others,Others,NIPPON INDIA FIXED HORIZON FUND
146472, Nippon India Fixed Horizon Fund XXXX - Series 17 - Growth Option,Low to Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXX
146473, Nippon India Fixed Horizon Fund XXXX - Series 17 - Direct Plan - Growth Option,Very High,Others,Others,Nippon India Fixed Horizon Fund XXXX
146475, UTI - Fixed Term Income Fund Series XXXI-V (1174 Days) - Direct Plan - Growth Option,Moderate,Others,Others,UTI
146476, UTI Fixed Term Income Fund Series XXXI-V (1174 Days) - Direct Plan - Flexi IDCW,Moderately High,Others,Others,UTI Fixed Term Income Fund Series XXXI
146477, UTI Fixed Term Income Fund Series XXXI-V (1174 Days) - Regular Plan - Quarterly IDCW,Low to Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146478, UTI - Fixed Term Income Fund Series XXXI-V (1174 Days) - Regular Plan - Growth Option,Low to Moderate,Others,Others,UTI
146479, UTI Fixed Term Income Fund Series XXXI-V (1174 Days) - Regular Plan - Annual IDCW,Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146480, UTI Fixed Term Income Fund Series XXXI-V (1174 Days) - Regular Plan - Maturity IDCW,Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146481, UTI Fixed Term Income Fund Series XXXI-V (1174 Days) - Direct Plan - Quarterly IDCW,Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146482, UTI Fixed Term Income Fund Series XXXI-V (1174 Days) - Direct Plan - Annual IDCW,Moderately High,Others,Others,UTI Fixed Term Income Fund Series XXXI
146484, UTI Fixed Term Income Fund Series XXXI-V (1174 Days) - Direct Plan - Maturity IDCW,Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146485, HSBC FTS 139 - IDCW - Tenure 1163 Days - Maturity,Moderately High,Others,Others,HSBC FTS 139
146486, HSBC FTS 139 - IDCW Direct Plan - Tenure 1163 Days - Maturity,Very High,Others,Others,HSBC FTS 139
146487, HSBC Fixed Term Series 139 - Direct Plan - Direct Plan - Growth Option,Moderately High,Others,Others,HSBC Fixed Term Series 139
146488, HSBC Fixed Term Series 139 - Growth Option,Moderately High,Others,Others,HSBC Fixed Term Series 139
146489, Aditya Birla Sun Life Fixed Term Plan - Series SG (1155 days) - Regular Plan - Growth,Moderate,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146490, Aditya Birla Sun Life Fixed Term Plan - Series SG (1155 days) - Regular - Payout of IDCW,Moderately High,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146491, Aditya Birla Sun Life Fixed Term Plan - Series SG (1155 days) - Direct Plan - Growth,Low to Moderate,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146492, Aditya Birla Sun Life Fixed Term Plan - Series SG (1155 days) - Direct - Payout of IDCW,Low to Moderate,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146493, SBI Debt Fund Series C - 44 (1175 Days) - Regular Plan - Growth,Very High,Others,Others,SBI Debt Fund Series C
146494, SBI Debt Fund Series - C - 44 (1175 Days) - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Moderate,Others,Others,SBI Debt Fund Series
146495, SBI Debt Fund Series C - 44 (1175 Days) - Direct Plan - Growth,Moderately High,Others,Others,SBI Debt Fund Series C
146496, SBI Debt Fund Series - C - 44 (1175 Days) - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate,Others,Others,SBI Debt Fund Series
146497, HDFC FMP 1146D February 2019 (1) - IDCW Option - Direct Plan,Low to Moderate,Others,Others,HDFC FMP 1146D February 2019 (1)
146498, HDFC FMP 1146D February 2019 (1) - Growth Option - Direct Plan,Moderate,Others,Others,HDFC FMP 1146D February 2019 (1)
146499, HDFC FMP 1146D February 2019 (1) - Quarterly IDCW Option - Direct Plan,Moderate,Others,Others,HDFC FMP 1146D February 2019 (1)
146500, HDFC FMP 1146D February 2019 (1) - Quarterly IDCW Option,Very High,Others,Others,HDFC FMP 1146D February 2019 (1)
146501, HDFC FMP 1146D February 2019 (1) - IDCW Option,Moderate,Others,Others,HDFC FMP 1146D February 2019 (1)
146502, HDFC FMP 1146D February 2019 (1) - Growth Option,Low,Others,Others,HDFC FMP 1146D February 2019 (1)
146505, IDFC Fixed Term Plan Series 176 DIRECT PLAN-GROWTH (1170 days),Moderate,Others,Others,IDFC Fixed Term Plan Series 176 DIRECT PLAN
146509, IDFC Fixed Term Plan Series 176 REGULAR PLAN-GROWTH (1170 days),High,Others,Others,IDFC Fixed Term Plan Series 176 REGULAR PLAN
146512, NIPPON INDIA JUNIOR BEES FOF - IDCW Option,Low,Other Scheme,FoFs(Oversease/Domestic),NIPPON INDIA JUNIOR BEES FOF
146513, Nippon India Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,Low to Moderate,Other Scheme,FoFs(Oversease/Domestic),Nippon India Junior BeES FoF
146514, Nippon India Junior BeES FoF - Growth Plan - Growth Option,Low,Other Scheme,FoFs(Oversease/Domestic),Nippon India Junior BeES FoF
146515, NIPPON INDIA JUNIOR BEES FOF - DIRECT Plan - IDCW Option,Low to Moderate,Other Scheme,FoFs(Oversease/Domestic),NIPPON INDIA JUNIOR BEES FOF
146516, IDBI Healthcare Fund - Direct Plan - IDCW,Moderate,Others,Others,IDBI Healthcare Fund
146517, IDBI Healthcare Fund - Direct Plan - Growth,Very High,Others,Others,IDBI Healthcare Fund
146518, IDBI Healthcare Fund - Regular Plan - Growth,Very High,Others,Others,IDBI Healthcare Fund
146519, IDBI Healthcare Fund - Regular Plan - IDCW,Low,Others,Others,IDBI Healthcare Fund
146530, ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan F - Direct Plan Half Yearly IDCW Option,Low to Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
146531, ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan F - Cumulative Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
146532, ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan F - Direct Plan Cumulative Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
146533, ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan F - Quarterly IDCW Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
146535, ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan F - Half Yearly IDCW Option,High,Others,Others,ICICI Prudential Fixed Maturity Plan
146536, UTI Fixed Term Income Fund Series XXXI-VI (1167 Days) - Direct Plan - Quarterly IDCW,Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146537, UTI Fixed Term Income Fund Series XXXI-VI (1167 Days) - Direct Plan - Maturity IDCW,Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146538, UTI - Fixed Term Income Fund Series XXXI-VI (1167 Days) - Direct Plan - Growth Option,Moderately High,Others,Others,UTI
146539, UTI - Fixed Term Income Fund Series XXXI-VI (1167 Days) - Regular Plan - Growth Option,Moderate,Others,Others,UTI
146540, UTI Fixed Term Income Fund Series XXXI-VI (1167 Days) - Direct Plan - Flexi IDCW,Low to Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146541, UTI Fixed Term Income Fund Series XXXI-VI (1167 Days) - Direct Plan - Annual IDCW,Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146544, UTI Fixed Term Income Fund Series XXXI-VI (1167 Days) - Regular Plan - Quarterly IDCW,Very High,Others,Others,UTI Fixed Term Income Fund Series XXXI
146546, SBI Capital Protection Oriented Fund - Series A (Plan 1) - Regular Plan - Growth,Moderately High,Others,Others,SBI Capital Protection Oriented Fund
146547, SBI Capital Protection Oriented Fund - Series A (Plan 1) - Direct Plan - Growth,Low to Moderate,Others,Others,SBI Capital Protection Oriented Fund
146548, Mahindra Manulife Large Cap Pragati Yojana - Regular Plan - IDCW,Moderate,Equity Scheme,Large Cap,Mahindra Manulife Large Cap Pragati Yojana
146549, Mahindra Manulife Large Cap Pragati Yojana - Direct Plan -Growth,Low to Moderate,Equity Scheme,Large Cap,Mahindra Manulife Large Cap Pragati Yojana
146550, Mahindra Manulife Large Cap Pragati Yojana - Direct Plan - IDCW,Very High,Equity Scheme,Large Cap,Mahindra Manulife Large Cap Pragati Yojana
146551, Mahindra Manulife Large Cap Pragati Yojana - Regular Plan - Growth,Moderately High,Equity Scheme,Large Cap,Mahindra Manulife Large Cap Pragati Yojana
146560, Axis Fixed Term Plan Series 102 (1133 Days) - Direct Plan - Quarterly IDCW,Very High,Others,Others,Axis Fixed Term Plan Series 102 (1133 Days)
146561, Axis Fixed Term Plan Series 102 (1133 Days) - Regular Plan - Quarterly IDCW,Moderate,Others,Others,Axis Fixed Term Plan Series 102 (1133 Days)
146563, Axis Fixed Term Plan - Series 102 (1133 Days) - Regular Plan - Growth Option,Moderately High,Others,Others,Axis Fixed Term Plan
146565, Axis Fixed Term Plan Series 102 (1133 Days) - Regular Plan - Regular IDCW,Moderate,Others,Others,Axis Fixed Term Plan Series 102 (1133 Days)
146566, Axis Fixed Term Plan - Series 102 (1133 Days) - Direct Plan - Growth Option,Low to Moderate,Others,Others,Axis Fixed Term Plan
146574, Aditya Birla Sun Life Retirement Fund-The 30s Plan-Regular - Payout of IDCW,Moderate,Solution Scheme,Retirement,Aditya Birla Sun Life Retirement Fund
146575, Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,Moderate,Solution Scheme,Retirement,Aditya Birla Sun Life Retirement Fund
146576, Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct - Payout of IDCW,High,Solution Scheme,Retirement,Aditya Birla Sun Life Retirement Fund
146577, Aditya Birla Sun Life Retirement Fund-The 30s Plan-Regular Growth,Very High,Solution Scheme,Retirement,Aditya Birla Sun Life Retirement Fund
146590, SBI Debt Fund Series C - 46 (1178 Days) - Regular Plan - Growth,Low to Moderate,Others,Others,SBI Debt Fund Series C
146591, SBI Debt Fund Series - C - 46 (1178 Days) - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),High,Others,Others,SBI Debt Fund Series
146592, SBI Debt Fund Series C - 46 (1178 Days) - Direct Plan - Growth,Moderately High,Others,Others,SBI Debt Fund Series C
146593, SBI Debt Fund Series - C - 46 (1178 Days) - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Moderately High,Others,Others,SBI Debt Fund Series
146594, NIPPON INDIA FIXED HORIZON FUND - XXXX - SERIES 19 - DIRECT Plan - IDCW Option,Moderately High,Others,Others,NIPPON INDIA FIXED HORIZON FUND
146595, Nippon India Fixed Horizon Fund XXXX - Series 19 - Growth Option,Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXX
146596, Nippon India Fixed Horizon Fund XXXX - Series 19 - Direct Plan - Growth Option,Low to Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXX
146597, NIPPON INDIA FIXED HORIZON FUND - XXXX - SERIES 19 - IDCW Option,Low to Moderate,Others,Others,NIPPON INDIA FIXED HORIZON FUND
146598, Kotak Quarterly Interval Plan Series13- Regular Plan- Dividend Payout,Very High,Others,Others,Kotak Quarterly Interval Plan Series13
146599, Kotak Quarterly Interval Plan Series13- Direct Plan- Growth,High,Others,Others,Kotak Quarterly Interval Plan Series13
146601, Kotak Quarterly Interval Plan Series13- Regular Plan- Growth,Low to Moderate,Others,Others,Kotak Quarterly Interval Plan Series13
146602, Kotak Quarterly Interval Plan Series13- Direct Plan- Dividend Payout,Moderate,Others,Others,Kotak Quarterly Interval Plan Series13
146604, Kotak FMP Series 263-1203 days- Regular plan- Payout of Income Distribution cum capital withdrawal option ,Moderately High,Others,Others,Kotak FMP Series 263
146605, Kotak FMP Series 263-1203 days- Direct Plan- Growth,Low,Others,Others,Kotak FMP Series 263
146607, Kotak FMP Series 263-1203 days- Regular plan- Growth,Moderately High,Others,Others,Kotak FMP Series 263
146608, UTI - Fixed Term Income Fund Series XXXI-VII (1155 Days) - Direct Plan - Growth Option,Moderate,Others,Others,UTI
146609, UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Direct Plan - Annual IDCW,Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146610, UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Direct Plan - Quarterly IDCW,Moderately High,Others,Others,UTI Fixed Term Income Fund Series XXXI
146611, UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Direct Plan - Maturity IDCW,Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146613, UTI - Fixed Term Income Fund Series XXXI-VII (1155 Days) - Regular Plan - Growth Option,High,Others,Others,UTI
146614, UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Regular Plan - Annual IDCW,High,Others,Others,UTI Fixed Term Income Fund Series XXXI
146615, UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Regular Plan - Flexi IDCW,Low to Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146616, UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Regular Plan - Quarterly IDCW,Low,Others,Others,UTI Fixed Term Income Fund Series XXXI
146617, UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Regular Plan - Maturity IDCW,Low to Moderate,Others,Others,UTI Fixed Term Income Fund Series XXXI
146623, Aditya Birla Sun Life Fixed Term Plan - Series SI (1141 days) - Regular Plan-Growth,Low to Moderate,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146624, Aditya Birla Sun Life Fixed Term Plan - Series SI (1141 days) -Regular - Payout of IDCW,Very High,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146625, Aditya Birla Sun Life Fixed Term Plan - Series SI (1141 days) -Direct - Payout of IDCW,Moderate,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146626, Aditya Birla Sun Life Fixed Term Plan - Series SI (1141 days) - Direct Plan- Growth,Moderate,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146631, HDFC FMP 1133D February 2019 (1) - Growth Option - Direct Plan,Low to Moderate,Others,Others,HDFC FMP 1133D February 2019 (1)
146632, HDFC FMP 1133D February 2019 (1) - Quarterly IDCW Option - Direct Plan,Low to Moderate,Others,Others,HDFC FMP 1133D February 2019 (1)
146633, HDFC FMP 1133D February 2019 (1) - IDCW Option,Moderately High,Others,Others,HDFC FMP 1133D February 2019 (1)
146634, HDFC FMP 1133D February 2019 (1) - Growth Option,Moderately High,Others,Others,HDFC FMP 1133D February 2019 (1)
146635, HDFC FMP 1133D February 2019 (1) - Quarterly IDCW Option,Low to Moderate,Others,Others,HDFC FMP 1133D February 2019 (1)
146636, HDFC FMP 1133D February 2019 (1) - IDCW Option - Direct Plan,Moderately High,Others,Others,HDFC FMP 1133D February 2019 (1)
146637, Aditya Birla Sun Life Fixed Term Plan - Series SJ (1135 days) - Regular Plan-Growth,Low to Moderate,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146638, Aditya Birla Sun Life Fixed Term Plan - Series SJ (1135 days) -Direct - Payout of IDCW,Low to Moderate,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146639, Aditya Birla Sun Life Fixed Term Plan - Series SJ (1135 days) -Regular - Payout of IDCW,High,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146640, Aditya Birla Sun Life Fixed Term Plan - Series SJ (1135 days) - Direct Plan-Growth,Low to Moderate,Others,Others,Aditya Birla Sun Life Fixed Term Plan
146641, SBI Equity Minimum Variance Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Moderate,Others,Others,SBI Equity Minimum Variance Fund
146642, SBI Equity Minimum Variance Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate,Others,Others,SBI Equity Minimum Variance Fund
146643, SBI Equity Minimum Variance Fund - Direct Plan - Growth,Low to Moderate,Others,Others,SBI Equity Minimum Variance Fund
146644, SBI Equity Minimum Variance Fund - Regular Plan - Growth,Moderate,Others,Others,SBI Equity Minimum Variance Fund
146645, HDFC FMP 1126D March 2019 (1) - IDCW Option - Direct Plan,High,Others,Others,HDFC FMP 1126D March 2019 (1)
146646, HDFC FMP 1126D March 2019 (1) - Quarterly IDCW Option - Direct Plan,Moderately High,Others,Others,HDFC FMP 1126D March 2019 (1)
146647, HDFC FMP 1126D March 2019 (1) - IDCW Option,Moderate,Others,Others,HDFC FMP 1126D March 2019 (1)
146648, HDFC FMP 1126D March 2019 (1) - Quarterly IDCW Option,Moderate,Others,Others,HDFC FMP 1126D March 2019 (1)
146649, HDFC FMP 1126D March 2019 (1) - Growth Option,Low,Others,Others,HDFC FMP 1126D March 2019 (1)
146650, HDFC FMP 1126D March 2019 (1) - Growth Option - Direct Plan,Moderate,Others,Others,HDFC FMP 1126D March 2019 (1)
146655, SBI Debt Fund Series C - 48 (1177 Days) - Regular Plan - Growth,High,Others,Others,SBI Debt Fund Series C
146656, SBI Debt Fund Series C - 48 (1177 Days) - Direct Plan - Growth,Very High,Others,Others,SBI Debt Fund Series C
146657, SBI Debt Fund Series - C - 48 (1177 Days) - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Very High,Others,Others,SBI Debt Fund Series
146658, SBI Debt Fund Series - C - 48 (1177 Days) - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Moderate,Others,Others,SBI Debt Fund Series
146659, ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan G - Quarterly IDCW Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
146662, ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan G - Cumulative Option,Low to Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
146663, ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan G - Direct Plan Cumulative Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
146664, ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan G - Half Yearly IDCW Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
146665, Franklin India Fixed Maturity Plans-Series 6 - Plan C 1169 days - IDCW ,Low,Others,Others,Franklin India Fixed Maturity Plans
146666, Franklin India Fixed Maturity Plans- Series 6 Plan C (1169 days)- Dividend- Direct,Low to Moderate,Others,Others,Franklin India Fixed Maturity Plans
146667, Franklin India Fixed Maturity Plans - Series 6 Plan C (1169 days)- Quarterly Dividend- Direct,Low to Moderate,Others,Others,Franklin India Fixed Maturity Plans
146668, Franklin India Fixed Maturity Plans - Series 6 Plan C (1169 days)- Growth,Low to Moderate,Others,Others,Franklin India Fixed Maturity Plans
146669, Franklin India Fixed Maturity Plans-Series 6 - Plan C 1169 days -QTR - IDCW ,High,Others,Others,Franklin India Fixed Maturity Plans
146670, Franklin India Fixed Maturity Plans- Series 6 Plan C (1169 days)- Growth- Direct,Low to Moderate,Others,Others,Franklin India Fixed Maturity Plans
146671, NIPPON INDIA FIXED HORIZON FUND - XLI - SERIES 1 - DIRECT Plan - IDCW Option,Moderate,Others,Others,NIPPON INDIA FIXED HORIZON FUND
146672, Nippon India Fixed Horizon Fund XLI - Series 1 - Direct Plan - Growth Option,Low,Others,Others,Nippon India Fixed Horizon Fund XLI
146673, Nippon India Fixed Horizon Fund XLI - Series 1 - Growth Option,Low to Moderate,Others,Others,Nippon India Fixed Horizon Fund XLI
146675, Axis Overnight Fund - Direct Plan - Growth Option,Very High,Debt Scheme,Overnight,Axis Overnight Fund
146676, Axis Overnight Fund - Direct Plan - Weekly IDCW,High,Debt Scheme,Overnight,Axis Overnight Fund
146677, Axis Overnight Fund - Direct Plan - Monthly IDCW,Moderate,Debt Scheme,Overnight,Axis Overnight Fund
146678, Axis Overnight Fund - Regular Plan - Growth Option,Very High,Debt Scheme,Overnight,Axis Overnight Fund
146679, Axis Overnight Fund - Direct Plan - Daily IDCW,Very High,Debt Scheme,Overnight,Axis Overnight Fund
146680, Axis Overnight Fund - Regular Plan - Weekly IDCW,High,Debt Scheme,Overnight,Axis Overnight Fund
146681, Axis Overnight Fund - Regular Plan - Monthly IDCW,Moderately High,Debt Scheme,Overnight,Axis Overnight Fund
146682, Axis Overnight Fund - Regular Plan - Daily IDCW,Moderate,Debt Scheme,Overnight,Axis Overnight Fund
146689, IDFC Fixed Term Plan Series 177 DIRECT PLAN-GROWTH (1160 days),Moderately High,Others,Others,IDFC Fixed Term Plan Series 177 DIRECT PLAN
